id_1,HYBAS_ID,Year,Ephemeral,Seasonal,Permanent
422,2120050250,1984,0.594,0.7128,4.374
423,2120050260,1984,0.1953,0.0171,0.6903
424,2120050270,1984,0.801,0.2844,6.0552
425,2120050280,1984,1.098,0.3465,1.4454
426,2120050290,1984,0.2412,0.126,2.0835
427,2121103110,1984,0.0558,0.0162,0.5688
428,2121103820,1984,0.1224,0.0423,0.7389
429,2121104160,1984,0.0657,0.0009,0.441
430,2120050300,1984,0.2097,0.1026,0.0279
431,2120050310,1984,0.1125,0.0612,0.0882
432,2120050320,1984,0.0171,0.0063,0.1431
433,2120344910,1984,0.0828,0.0117,0.0009
434,2120345030,1984,0.0198,0,0.0135
435,2121102850,1984,0,0,0
436,2121103080,1984,0.0018,0.0009,0.0126
437,2121102330,1984,0.2313,0.0378,0.5643
438,2120050330,1984,0.9747,0.0495,0.4131
439,2120050340,1984,0.4239,0.1521,0.2745
440,2121102770,1984,0.0774,0.1062,0.0585
441,2120349330,1984,0.2619,0.0297,0.081
442,2120349470,1984,0.0162,0,0
443,2120350840,1984,0.0306,0.0441,0.1422
444,2120350850,1984,0.0603,0.0639,0.144
445,2121103160,1984,0.0189,0.0405,0.1359
446,2120352710,1984,0.0171,0.0288,0.0144
447,2120352820,1984,0,0,0.0009
448,2120352120,1984,0.4743,0.1251,6.9723
449,2120352260,1984,0.0054,0.0126,0.0054
450,2120353900,1984,0.4815,0.0099,3.6567
451,2120354020,1984,0.0918,0.1962,6.201
452,2120050350,1984,0.342,0.0702,0.2394
453,2120050360,1984,0.5094,0.306,2.4462
454,2120050370,1984,0.0846,0.0576,0.1386
455,2120050380,1984,1.377,0.1476,1.0719
456,2120050390,1984,1.0629,0.1935,1.1574
457,2120345100,1984,1.0242,0.1008,0.8577
458,2120345150,1984,0.0018,0,0
459,2120345260,1984,0.0117,0.0063,0.0153
460,2120345330,1984,0.1692,0.063,0.4194
461,2120346740,1984,0.3483,0.0315,0.2052
462,2120346830,1984,0.3006,0.0657,0.1539
463,2121103020,1984,0.2052,0.054,0.1053
464,2121103780,1984,0.054,0.0324,0.0666
465,2121102970,1984,0.0405,0.0423,0.1008
466,2121104360,1984,0.1116,0.054,0.2754
467,2121104840,1984,0.4176,0.2232,0.5661
468,2120050400,1984,0.0036,0.0072,0.2412
469,2120050410,1984,1.2114,0.4059,1.4517
470,2120342440,1984,0.2367,0.3024,0.3924
471,2120342280,1984,0.2988,0.189,0.8046
472,2120342150,1984,0.18,0.0909,1.0287
473,2120342060,1984,0.0738,0.0225,0.0648
474,2120341670,1984,0.6408,0.0945,1.0881
475,2120341680,1984,0.0855,0.0459,0.2034
476,2120341130,1984,0.0657,0.0999,0.6057
477,2120341040,1984,0.1179,0.1395,0.6948
478,2121101240,1984,0.0342,0.0234,0.2358
479,2121100050,1984,0.2403,0.0693,0.1809
480,2120341780,1984,0.0018,0.0009,0.0018
481,2120341690,1984,0.1665,0.1341,2.6496
482,2120338820,1984,0.3681,0.0648,1.9521
483,2120338690,1984,0.0135,0.0108,0.0648
484,2120341790,1984,0.1719,0.2196,2.2914
485,2120341990,1984,0.171,0.0756,1.08
486,2120338350,1984,0.2871,0.099,2.853
487,2120338280,1984,0.1404,0.0369,1.1997
488,2120050420,1984,0.1386,0.0585,1.7226
489,2120050430,1984,0.2421,0.0252,1.4886
